Scénario,N,Estimation (points),IC 95 % bas,IC 95 % haut
"Principale : SpecialDay=0, avec trafic",11079,1.5062325736588296,-0.17553755980511365,3.1880027071227723
Sans TrafficType,11079,2.2330760854132925,0.5354261673075289,3.930726003519056
Population complète + indicateur jour spécial,12330,1.193108890587709,-0.39198682104929167,2.7782046022247098
Sans doublons exacts,10956,1.1986795442813498,-0.48419500912301583,2.881554097685715
"Support commun [0,05 ; 0,95]",11070,1.5548478942217852,-0.12579486602963974,3.2354906544732103
Forêt aléatoire pour les nuisances,11079,1.7357301995604548,0.1234000790961285,3.3480603200247816
