Méthode,Estimation (points),IC 95 % bas,IC 95 % haut
Brute,2.026069639380665,0.37777803801942594,3.674361240741904
Standardisation,1.3836395127963228,-0.31657234961326036,2.984327335757713
IPW,1.4438062859129879,-0.25563425371169857,3.1432468255376746
AIPW,1.5062325736588298,-0.1755375598051133,3.1880027071227732
